	abnormal neuron differentiation:-log(hyper_p)	abnormal neuron differentiation:-log(OR_p)	abnormal neuron differentiation:log_OR	abnormal neuron differentiation:num_genes	abnormal neuron differentiation:gene_ids	abnormal neuron morphology:-log(hyper_p)	abnormal neuron morphology:-log(OR_p)	abnormal neuron morphology:log_OR	abnormal neuron morphology:num_genes	abnormal neuron morphology:gene_ids	abnormal nervous system electrophysiology:-log(hyper_p)	abnormal nervous system electrophysiology:-log(OR_p)	abnormal nervous system electrophysiology:log_OR	abnormal nervous system electrophysiology:num_genes	abnormal nervous system electrophysiology:gene_ids	abnormal neuron number:-log(hyper_p)	abnormal neuron number:-log(OR_p)	abnormal neuron number:log_OR	abnormal neuron number:num_genes	abnormal neuron number:gene_ids	abnormal CNS synaptic transmission:-log(hyper_p)	abnormal CNS synaptic transmission:-log(OR_p)	abnormal CNS synaptic transmission:log_OR	abnormal CNS synaptic transmission:num_genes	abnormal CNS synaptic transmission:gene_ids	abnormal synaptic transmission:-log(hyper_p)	abnormal synaptic transmission:-log(OR_p)	abnormal synaptic transmission:log_OR	abnormal synaptic transmission:num_genes	abnormal synaptic transmission:gene_ids	decreased neuron number:-log(hyper_p)	decreased neuron number:-log(OR_p)	decreased neuron number:log_OR	decreased neuron number:num_genes	decreased neuron number:gene_ids	abnormal somatic nervous system morphology:-log(hyper_p)	abnormal somatic nervous system morphology:-log(OR_p)	abnormal somatic nervous system morphology:log_OR	abnormal somatic nervous system morphology:num_genes	abnormal somatic nervous system morphology:gene_ids	increased neuron number:-log(hyper_p)	increased neuron number:-log(OR_p)	increased neuron number:log_OR	increased neuron number:num_genes	increased neuron number:gene_ids	abnormal sensory neuron morphology:-log(hyper_p)	abnormal sensory neuron morphology:-log(OR_p)	abnormal sensory neuron morphology:log_OR	abnormal sensory neuron morphology:num_genes	abnormal sensory neuron morphology:gene_ids
C438105	13.480089730058504	18.455487325815312	1.7984399573487981	30	ARFGEF1 ASCL1 AUTS2 CDK5R1 CTNNB1 FOXA2 FOXG1 GATA3 GFAP GRIA2 GSX2 ID2 ID4 INSM1 KMT2A LHX1 LMX1A MAPT NEUROG1 NEUROG2 NKX6-2 PAX6 PHOX2A PITX2 PRNP RNF2 SOX1 SOX10 SOX11 SOX2	14.945065852290586	17.549974995527425	1.1900014450995329	73	ARFGEF1 ASCL1 AUTS2 BARHL2 CADPS2 CAMK2A CDK5R1 CLCN2 CTNNB1 CYTH1 DCX DYRK1A FOXA2 FOXG1 FOXN4 GABRA1 GABRA5 GABRA6 GABRB2 GABRB3 GATA3 GFAP GRIA2 GRID1 GSX2 HEPACAM ID2 ID4 INSM1 IRX5 IRX6 KCND2 KCNMA1 KCNQ1 KIF5A KIF5C KLK6 KMT2A LHX1 LHX3 LMX1A LMX1B LRRTM1 LRRTM3 MAP2 MAPT NEUROD1 NEUROD4 NEUROG1 NEUROG2 NKX2-2 NKX6-2 NPTN OLIG1 OLIG2 PAX6 PHOX2A PITX2 POU3F2 PRNP PRSS56 PTK7 RNF2 SNCA SOX1 SOX10 SOX11 SOX2 SPTBN4 STXBP1 TSPAN7 VPS35 WNT5A	10.849321837080579	14.327227326226005	1.6414010082444053	27	ALDH5A1 CHD8 CLCN2 GABRA6 GABRB1 GABRB3 GABRD GRIA2 GRIA4 GSG1L HCN4 KCNJ11 KCNMA1 KCNMB4 KCNN2 KCNN3 KCNQ3 LRRTM3 NEUROD1 NKX6-2 PER1 PLCL1 PRNP RAI1 SCN2A SOX2 TSPAN7	10.999494023754153	14.001411781747331	1.4519609333890982	34	ASCL1 BARHL2 CADPS2 FOXG1 FOXN4 GABRA1 GATA3 GRIA2 INSM1 KCNQ1 KIF5C KLK6 KMT2A LHX3 LMX1A LMX1B MAPT NEUROD1 NEUROD4 NEUROG2 NKX2-2 NPTN OLIG1 OLIG2 PHOX2A POU3F2 PRNP PTK7 SNCA SOX10 SOX11 SOX2 STXBP1 WNT5A	11.162999272199572	13.530026195070375	1.2442424794116995	46	CAMK2A CDK5R1 CHD8 CNIH2 CTNNB1 DCX DNASE1L2 GABRA1 GABRA2 GABRA3 GABRA4 GABRA5 GABRA6 GABRB1 GABRB2 GABRB3 GABRD GABRQ GFAP GNAI1 GRIA2 GRIA3 GRIA4 GRIP2 GSG1L IQSEC2 KCNJ14 KCNMA1 KCNN2 LEF1 LRRTM2 LRRTM3 LRRTM4 MAPT MCRS1 NPTN OLIG1 OLIG2 PAX6 PPP2R5D PRNP SHISA7 SNCA STX7 STXBP5 TSPAN7	11.043728472328938	13.082282260561287	1.159815938774988	52	ABCC9 ALDH5A1 CADPS2 CAMK2A CDK5R1 CHD8 CNIH2 CTNNB1 DCX DNASE1L2 GABRA1 GABRA2 GABRA3 GABRA4 GABRA5 GABRA6 GABRB1 GABRB2 GABRB3 GABRD GABRQ GATA3 GFAP GNAI1 GRIA2 GRIA3 GRIA4 GRIP2 GSG1L IQSEC2 KCND2 KCNJ14 KCNMA1 KCNN2 LEF1 LRRTM2 LRRTM3 LRRTM4 MAPT MCRS1 NPTN OLIG1 OLIG2 PAX6 PPP2R5D PRNP SHISA7 SNCA STX7 STXBP1 STXBP5 TSPAN7	9.708147612147124	12.314127692280646	1.4569625554982681	29	ASCL1 BARHL2 CADPS2 FOXG1 FOXN4 GABRA1 GATA3 GRIA2 INSM1 KCNQ1 KIF5C KLK6 LHX3 LMX1A LMX1B NEUROD1 NEUROD4 NEUROG2 NPTN OLIG1 OLIG2 PHOX2A PRNP SNCA SOX10 SOX11 SOX2 STXBP1 WNT5A	9.207259567204934	10.700740476920604	1.084531501878974	47	AIF1 ASCL1 AUTS2 BARHL2 CAMK2A CDX1 CLCN2 CTNNB1 DLX1 DLX2 DNASE1L2 FOXG1 FOXN4 GABRA5 GABRB2 GABRB3 GATA3 GRID1 GSX2 IRX5 IRX6 KCNMA1 KCNQ1 KIF5C KMT2A LHX3 LMX1A LMX1B MAPT NEUROD1 NEUROD4 NEUROG1 NEUROG2 NKX6-2 NPTN OLIG1 OLIG2 PAX6 PHOX2A PITX2 PRNP PRSS56 PTK7 SOX10 SOX11 SOX2 SPTBN4	7.48230077181911	10.114057461684348	2.1399363017987962	11	BARHL2 FOXG1 FOXN4 KIF5C LMX1B MAPT NEUROD1 NEUROG2 NKX2-2 PHOX2A PTK7	7.849778342538499	9.495588612729046	1.281421056190338	28	ASCL1 BARHL2 CLCN2 FOXG1 FOXN4 GABRA5 GABRB2 GABRB3 GATA3 GSX2 IRX5 IRX6 KCNMA1 KCNQ1 KIF5C LMX1B MAPT NEUROD1 NEUROD4 NEUROG2 NPTN OLIG1 OLIG2 PRSS56 PTK7 SOX10 SOX11 SOX2
C438112	0.878511880321947	0.18938560846060262	0.4661491458659146	1	GRIA2	1.5950331036957575	1.1357395984982743	0.8075504342789337	6	GRIA2 KIF5A KIF5C PRSS56 STXBP1 TSPAN7	3.3506363827844803	3.503612332890099	1.9288207526039551	4	GRIA2 GRIA4 GSG1L TSPAN7	1.777774963115276	1.2741871293732725	1.1723045967463106	3	GRIA2 KIF5C STXBP1	6.420219100884803	7.544431981591269	2.0982606483784245	10	CNIH2 GRIA2 GRIA3 GRIA4 GRIP2 GSG1L SHISA7 STX7 STXBP5 TSPAN7	6.427637310350888	7.326519450502158	2.0098705266340398	11	CNIH2 GRIA2 GRIA3 GRIA4 GRIP2 GSG1L SHISA7 STX7 STXBP1 STXBP5 TSPAN7	2.0356620134330607	1.591882134165567	1.354281748152781	3	GRIA2 KIF5C STXBP1	0.500160568420263	0.006530903666681341	0.013648898434219348	2	KIF5C PRSS56	1.9319221647158724	1.1471476592059666	1.8417924230336	1	KIF5C	1.1731136590633935	0.5518706753005237	0.7879897596867202	2	KIF5C PRSS56
C438111	1.5335747350239288	0.9182710628802391	1.1325138403437904	2	KMT2A RNF2	0.20743861857774637	0.29888650838548825	-0.48827143498334635	2	KMT2A RNF2	0.8192729752270523	0.14928870856121507	0.37891812127215463	1	CHD8	0.5474666175963484	0.018081507334224322	-0.05190879450080654	1	KMT2A	0.5865025969638258	0.06652308373802439	0.13035638416273532	2	CHD8 MCRS1	0.425553901074511	0.04763921359143871	-0.09510132727884901	2	CHD8 MCRS1	-0.0	-0.0	0.0	0		0.20294600080246084	0.34894200428219635	-0.7702996714585773	1	KMT2A	-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0	
C438143	-0.0	-0.0	0.0	0		0.8231682854187824	0.1497779553810592	0.4000891786307461	1	STXBP1	-0.0	-0.0	0.0	0		1.6733055790480391	0.838446210947228	1.5592095888605089	1	STXBP1	2.2605008404971834	1.6503725731026457	1.8666730211247344	2	STX7 STXBP5	3.1089973335076797	2.641466480935772	2.2300453872530897	3	STX7 STXBP1 STXBP5	1.81807409368149	0.9834130613513867	1.740406500067997	1	STXBP1	-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0	
C438142	2.0437876724210833	1.2263041533734826	2.018290134931222	1	AUTS2	2.515401552403032	1.922110852099137	1.836634612880081	3	AUTS2 CADPS2 DYRK1A	2.020646947411148	1.2004470449808449	1.9900193345530708	1	CHD8	1.6733055790480391	0.838446210947228	1.5592095888605089	1	CADPS2	1.256565071180919	0.4670260791629026	1.018126996861052	1	CHD8	2.0026627032313153	1.3508202999668415	1.6412365935046411	2	CADPS2 CHD8	1.81807409368149	0.9834130613513867	1.740406500067997	1	CADPS2	1.1266639063161188	0.36476493763020507	0.8408702715953318	1	AUTS2	-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0	
C438110	3.1228484591794174	3.1656460542181972	1.80290339346627	4	ARFGEF1 CDK5R1 GRIA2 MAPT	3.43321192839469	3.327361374623806	1.2858982366086495	10	ARFGEF1 CAMK2A CDK5R1 GRIA2 GRID1 KIF5A KIF5C MAPT PRSS56 TSPAN7	4.0381540208298015	4.590584892209594	2.029635590279984	5	GRIA2 GRIA4 GSG1L PER1 TSPAN7	1.5781836322741036	1.0469080513964988	1.0224725534544925	3	GRIA2 KIF5C MAPT	7.661008850950419	9.269640235583859	2.1650162568229874	12	CAMK2A CDK5R1 CNIH2 GRIA2 GRIA3 GRIA4 GRIP2 GSG1L MAPT PPP2R5D SHISA7 TSPAN7	6.580286054813656	7.569035199628658	1.9372595760793043	12	CAMK2A CDK5R1 CNIH2 GRIA2 GRIA3 GRIA4 GRIP2 GSG1L MAPT PPP2R5D SHISA7 TSPAN7	1.1562578818007385	0.5368482980555792	0.7691378073055928	2	GRIA2 KIF5C	1.622475639364807	1.1595764502191015	0.8722077936865249	5	CAMK2A GRID1 KIF5C MAPT PRSS56	3.057607221189731	3.0333126867715183	2.43256497458409	2	KIF5C MAPT	1.652696971681633	1.1318642196456354	1.0775438852805266	3	KIF5C MAPT PRSS56
C438141	5.103285837110238	5.6344415675166495	3.4597629112696344	3	NEUROG2 SOX1 SOX11	3.644844922007514	3.043212863605783	2.348191352283286	4	NEUROG2 POU3F2 SOX1 SOX11	-0.0	-0.0	0.0	0		4.338434832549298	4.37981337561739	2.9984140451294223	3	NEUROG2 POU3F2 SOX11	-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		3.1273289035375647	2.811624512274505	2.590147826582986	2	NEUROG2 SOX11	2.0569269569107256	1.4121470253701898	1.6892334471471013	2	NEUROG2 SOX11	3.1984185019199485	2.7987443742629803	3.3939119057538347	1	NEUROG2	2.9722836311587075	2.58622420189545	2.4635240126267615	2	NEUROG2 SOX11
C438109	20.96427865447407	31.442087858547307	3.468482103451257	19	ASCL1 FOXA2 FOXG1 GFAP GSX2 ID2 ID4 INSM1 LHX1 LMX1A NEUROG1 NEUROG2 NKX6-2 PAX6 PHOX2A SOX1 SOX10 SOX11 SOX2	21.903349613215525	22.399058463773585	2.836042471551617	32	ASCL1 BARHL2 DCX FOXA2 FOXG1 FOXN4 GFAP GSX2 ID2 ID4 INSM1 IRX6 LHX1 LHX3 LMX1A LMX1B MAP2 NEUROD1 NEUROD4 NEUROG1 NEUROG2 NKX2-2 NKX6-2 OLIG1 OLIG2 PAX6 PHOX2A POU3F2 SOX1 SOX10 SOX11 SOX2	1.7558957704696947	1.2596888887186766	1.146323064148394	3	NEUROD1 NKX6-2 SOX2	17.126977802380388	23.90489131511775	2.9880802594559785	19	ASCL1 BARHL2 FOXG1 FOXN4 INSM1 LHX3 LMX1A LMX1B NEUROD1 NEUROD4 NEUROG2 NKX2-2 OLIG1 OLIG2 PHOX2A POU3F2 SOX10 SOX11 SOX2	1.385541418483305	0.9066076870815782	0.7256318251274232	5	DCX GFAP OLIG1 OLIG2 PAX6	1.0269218992201887	0.5384510104125702	0.4994781303308935	5	DCX GFAP OLIG1 OLIG2 PAX6	15.853714623560151	22.853842033874095	3.001349423936933	17	ASCL1 BARHL2 FOXG1 FOXN4 INSM1 LHX3 LMX1A LMX1B NEUROD1 NEUROD4 NEUROG2 OLIG1 OLIG2 PHOX2A SOX10 SOX11 SOX2	14.68994087819297	17.993234439058142	2.496491156559898	22	AIF1 ASCL1 BARHL2 FOXG1 FOXN4 GSX2 IRX6 LHX3 LMX1A LMX1B NEUROD1 NEUROD4 NEUROG1 NEUROG2 NKX6-2 OLIG1 OLIG2 PAX6 PHOX2A SOX10 SOX11 SOX2	11.545714947025713	19.742238915335452	3.7221383751043198	8	BARHL2 FOXG1 FOXN4 LMX1B NEUROD1 NEUROG2 NKX2-2 PHOX2A	12.411885547597585	17.364373926360305	2.6852201900144306	15	ASCL1 BARHL2 FOXG1 FOXN4 GSX2 IRX6 LMX1B NEUROD1 NEUROD4 NEUROG2 OLIG1 OLIG2 SOX10 SOX11 SOX2
C438148	-0.0	-0.0	0.0	0		0.9231199103969656	0.21614367545960184	0.5543036482070152	1	SPTBN4	2.1400676194168655	1.3240485170347853	2.144229366844958	1	SCN2A	-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		1.2349287734295307	0.4471735936457675	0.9950827542099159	1	SPTBN4	-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0	
C438116	-0.0	-0.0	0.0	0		0.2330420898081491	0.30579421279676655	-0.699416594046002	1	KCNMA1	4.2925519178696625	4.950288348308727	2.4403593465148177	4	KCNMA1 KCNMB4 KCNN2 KCNN3	-0.0	-0.0	0.0	0		1.0415836138569767	0.4286342703552745	0.6618427939143245	2	KCNMA1 KCNN2	0.8350271993760742	0.25445206015286614	0.4363957335686406	2	KCNMA1 KCNN2	-0.0	-0.0	0.0	0		0.4339222430153135	0.09656885226052632	-0.2586076573914706	1	KCNMA1	-0.0	-0.0	0.0	0		0.9099504047849899	0.21078155300419185	0.5146079354824895	1	KCNMA1
C438115	-0.0	-0.0	0.0	0		4.115953633280823	4.061486476110243	1.7215546696705832	8	CLCN2 GABRA1 GABRA5 GABRA6 GABRB2 GABRB3 HEPACAM NPTN	8.188373984586953	11.126297629594188	3.1271220072031847	7	ALDH5A1 CLCN2 GABRA6 GABRB1 GABRB3 GABRD PLCL1	1.546199755827413	0.9233651043429013	1.1549026009491854	2	GABRA1 NPTN	11.193905529268484	12.585075995726205	3.0639381221329316	12	GABRA1 GABRA2 GABRA3 GABRA4 GABRA5 GABRA6 GABRB1 GABRB2 GABRB3 GABRD GABRQ NPTN	11.378677108770122	12.034389559729298	3.012577945928318	13	ALDH5A1 GABRA1 GABRA2 GABRA3 GABRA4 GABRA5 GABRA6 GABRB1 GABRB2 GABRB3 GABRD GABRQ NPTN	1.7454756957512427	1.1454323266919584	1.336489362370929	2	GABRA1 NPTN	2.7896118650906874	2.5390432614719667	1.509186598232577	5	CLCN2 GABRA5 GABRB2 GABRB3 NPTN	-0.0	-0.0	0.0	0		4.529065246323073	5.176946457443556	2.286832991499936	5	CLCN2 GABRA5 GABRB2 GABRB3 NPTN
C438114	1.9604630768960425	1.4058387404962358	1.5240335303020052	2	AUTS2 GATA3	2.3447627168748975	1.9670324733206637	1.195890696297484	6	AUTS2 CADPS2 DYRK1A GATA3 KLK6 SNCA	1.083110177949373	0.33817537709459833	0.7568661220128492	1	CHD8	3.1658913504853095	3.1447172352531454	1.8520578029066694	4	CADPS2 GATA3 KLK6 SNCA	0.9134273880208184	0.3192207068447185	0.5218970223772139	2	CHD8 SNCA	1.803120619859096	1.3225307719397335	1.082611947321669	4	CADPS2 CHD8 GATA3 SNCA	3.5152162096763275	3.6900975577432384	2.0344212410542104	4	CADPS2 GATA3 KLK6 SNCA	0.7573297962607551	0.19337125529290466	0.344447533244562	2	AUTS2 GATA3	-0.0	-0.0	0.0	0		0.8194026738852123	0.14917798868768145	0.3808967568028869	1	GATA3
C438146	2.1633594632597237	1.3508692824527928	2.1725001355356017	1	GRIA2	4.038224386558181	3.24989437936275	2.635937202279016	4	GRIA2 KIF5A KIF5C TSPAN7	5.350163921687814	5.739305338944229	3.654523037851508	3	GRIA2 GRIA4 TSPAN7	3.099966101046158	2.7018881682399023	2.590946934350585	2	GRIA2 KIF5C	7.033649910081872	5.4574448137167915	3.8853901924377734	5	GRIA2 GRIA3 GRIA4 GRIP2 TSPAN7	6.482563758977998	4.906646956256801	3.659270722810751	5	GRIA2 GRIA3 GRIA4 GRIP2 TSPAN7	3.323490401685621	3.027082473443394	2.772529054588582	2	GRIA2 KIF5C	1.2349287734295307	0.4471735936457675	0.9950827542099159	1	KIF5C	3.321992661576913	2.96503167801858	3.548121080506676	1	KIF5C	1.833871922349084	0.9917106256724092	1.7682693497272517	1	KIF5C
C438113	2.4483385165052653	2.146141328254324	1.6336702258218683	3	CTNNB1 GATA3 PITX2	1.144800248982905	0.6492611186962666	0.5894054523927812	5	CTNNB1 GATA3 PITX2 PTK7 WNT5A	0.8591205959969854	0.17609859114216592	0.43787752029053006	1	KCNJ11	1.777774963115276	1.2741871293732725	1.1723045967463106	3	GATA3 PTK7 WNT5A	0.6336575299557752	0.1005020090770742	0.1911036451748096	2	CTNNB1 LEF1	1.2778450844250742	0.760107917348128	0.725378534813303	4	ABCC9 CTNNB1 GATA3 LEF1	1.3018807840429725	0.6765790988318356	0.9146186904001707	2	GATA3 WNT5A	1.9011970255985164	1.474370778500252	1.0315819804421071	5	CDX1 CTNNB1 GATA3 PITX2 PTK7	1.9319221647158724	1.1471476592059666	1.8417924230336	1	PTK7	1.1731136590633935	0.5518706753005237	0.7879897596867202	2	GATA3 PTK7
C438145	-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		2.1400676194168655	1.3240485170347853	2.144229366844958	1	KCNQ3	-0.0	-0.0	0.0	0		1.3673897738238574	0.555935815341744	1.1723388968052602	1	KCNJ14	1.1997175802401578	0.41934371185224917	0.9471301802572354	1	KCNJ14	-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0	
