# Expression Atlas
# Query: Genes matching: 'default query', specifically up/down differentially expressed in 5 comparisons  given the adjusted p-value cutoff 1 and log2-fold change cutoff 0 in experiment E-MTAB-6863
# Timestamp: Tue, 07-Jun-2022 23:32:23
Gene ID	Gene Name	'advanced' vs 'early' in 'no steatosis; liver disease; Hepatitis C virus genotype 1' .foldChange	'advanced' vs 'early' in 'no steatosis; liver disease; Hepatitis C virus genotype 1'.pValue	'advanced' vs 'early' in 'no steatosis; liver disease; Hepatitis C virus genotype 3' .foldChange	'advanced' vs 'early' in 'no steatosis; liver disease; Hepatitis C virus genotype 3'.pValue	'advanced' vs 'early' in 'steatosis; liver disease; Hepatitis C virus genotype 1' .foldChange	'advanced' vs 'early' in 'steatosis; liver disease; Hepatitis C virus genotype 1'.pValue	'advanced' vs 'early' in 'steatosis; liver disease; Hepatitis C virus genotype 3' .foldChange	'advanced' vs 'early' in 'steatosis; liver disease; Hepatitis C virus genotype 3'.pValue	'advanced' vs 'early' in 'steatosis; non-alcoholic fatty liver disease; not applicable' .foldChange	'advanced' vs 'early' in 'steatosis; non-alcoholic fatty liver disease; not applicable'.pValue
ENSG00000073849	ST6GAL1	-0.2	0.999985931919634	-0.7	0.114342428604945	-0.4	0.891580561555642	-0.3	0.646210390256948	-0.2	0.846436221244215
ENSG00000073861	TBX21	0.2	0.999985931919634	0.6	0.302632813678896	-0.2	0.956926080321162			0.1	0.942736098222054
ENSG00000073905	VDAC1P1	0.2	0.999985931919634	-0.6	0.387366746241994	0.3	0.910514156976988	-0.4	0.740954470996673	-0.1	0.934701234357956
ENSG00000073910	FRY			-0.1	0.898147623597608	0.3	0.891580561555642	0.2	0.829150901891045	0.2	0.837077972371993
ENSG00000073921	PICALM	-0.1	0.999985931919634	-0.1	0.775066835717375	-0.1	0.929412971189339	-0.1	0.915446515867058	0.1	0.856119923762692
ENSG00000073969	NSF	0.1	0.999985931919634	-0.1	0.757114610779489	-0.1	0.929044254329603			0.1	0.890470382862126
ENSG00000074047	GLI2	0.6	0.814810755314648			1.3	0.1814666002792	1.0	0.065166084692683	0.5	0.602124231139255
ENSG00000074054	CLASP1	-0.1	0.999985931919634			0.1	0.898604751011441			-0.1	0.907757946534672
ENSG00000074071	MRPS34	-0.1	0.999985931919634	-0.9	0.14126695550294	-0.2	0.938032826081256	-0.4	0.690041168935515	-0.4	0.665995739183552
ENSG00000074181	NOTCH3	0.6	0.758364228087654	0.3	0.672024693811429	1.2	0.251872737761855			0.3	0.783841707991014
ENSG00000074201	CLNS1A	-0.1	0.999985931919634	-0.3	0.321910031654289	-0.1	0.955098234054372	-0.2	0.859482626312834		
ENSG00000074211	PPP2R2C					0.4	0.923181237071925				
ENSG00000074219	TEAD2	0.1	0.999985931919634	-0.6	0.269340416799693	0.4	0.830854170058077	0.2	0.888452273955261	0.2	0.741303930021859
ENSG00000074266	EED	-0.1	0.999985931919634	0.4	0.401588540552009	0.1	0.941364468287445	0.1	0.911089028509143		
ENSG00000074276	CDHR2	0.2	0.999985931919634	-0.7	0.326246952687172	-0.1	0.98552016352893	0.3	0.878580697444457		
ENSG00000074319	TSG101	0.1	0.999985931919634	-0.6	0.118536956267193	-0.1	0.95118419154754	-0.2	0.859482626312834	0.1	0.860245328064208
ENSG00000074356	NCBP3	0.1	0.999985931919634	0.3	0.470851382179723	0.1	0.949573054398049	0.2	0.858420800940398		
ENSG00000074370	ATP2A3	0.8	0.405063094453052	0.7	0.21259229083974	0.1	0.988680569518034	0.8	0.055766728105381	0.1	0.882488200416037
ENSG00000074410	CA12	-0.1	0.999985931919634	-0.1	0.910508231962041	1.0	0.658477712965177	1.5	0.00458395965996256	0.3	0.7137799505811
ENSG00000074416	MGLL	-0.1	0.999985931919634	-1.0	0.107941195241818	0.1	0.988067663289411	-0.1	0.967485961954043	-0.4	0.602124231139255
ENSG00000074527	NTN4	-0.2	0.999985931919634	-0.4	0.364444228070076	-0.4	0.828542127537742	-0.3	0.720554033033716	-0.4	0.400739957192279
ENSG00000074582	BCS1L	0.1	0.999985931919634	-0.4	0.43553729259869			-0.2	0.85384624630711	-0.1	0.897453131948606
ENSG00000074590	NUAK1	-0.2	0.999985931919634	-0.3	0.504325577683925	0.3	0.851594395253007	-0.3	0.687600861998846	-0.2	0.73993091179239
ENSG00000074603	DPP8	-0.1	0.999985931919634	0.3	0.368168120691952	0.1	0.945739739421621			0.1	0.800321741233748
ENSG00000074621	SLC24A1			0.3	0.433546142000133			0.2	0.898209011958566		
ENSG00000074657	ZNF532	0.4	0.754220454799071	0.5	0.194225476602623	0.6	0.702390846806136	0.6	0.0851254318578277	0.3	0.687539361624822
ENSG00000074660	SCARF1	-0.1	0.999985931919634	-0.5	0.288633683708542	-0.1	0.945065740179399	-0.1	0.885666733258467	-0.4	0.435264386188636
ENSG00000074695	LMAN1	-0.2	0.999985931919634	-0.1	0.853690812586313	-0.4	0.708749981281447	-0.3	0.799309116432564	0.2	0.804215171211785
ENSG00000074696	HACD3			-0.2	0.577514306314517	-0.4	0.830379944234687	-0.2	0.85384624630711	0.1	0.901339082546957
ENSG00000074706	IPCEF1	0.3	0.999985931919634	0.8	0.154532901905932	-0.2	0.951401940626305	0.4	0.640215376367348	0.2	0.810074250907609
ENSG00000074755	ZZEF1			-0.2	0.542926073886649	0.1	0.939284579868681			-0.2	0.644507830413528
ENSG00000074800	ENO1	0.2	0.999985931919634	-1.0	0.0966422730438611	-0.2	0.945065740179399	-0.2	0.926666608252084	-0.2	0.812324866556115
ENSG00000074803	SLC12A1	0.7	0.601906161706784			-0.9	0.67125936065491	0.9	0.264217954107056	0.8	0.266925621359383
ENSG00000074842	MYDGF	0.1	0.999985931919634	-1.1	0.107922445835574	-0.3	0.879364969802434	-0.4	0.772510620667619	-0.4	0.638770337021604
ENSG00000074855	ANO8			-0.1	0.832265583132237	0.3	0.741775180719256	0.2	0.877007117292577	-0.3	0.740849829550938
ENSG00000074935	TUBE1	-0.2	0.999985931919634	-0.2	0.770661310427018	-0.3	0.828542127537742	0.1	0.972957369088032	0.1	0.940362526784959
ENSG00000074964	ARHGEF10L	-0.1	0.999985931919634	-0.6	0.330729090560262			-0.1	0.967485961954043	-0.5	0.102318215929177
ENSG00000074966	TXK	0.2	0.999985931919634	0.4	0.518107734150397	-0.1	0.978625588854714	0.3	0.818213778661235	-0.2	0.835933370799638
ENSG00000075073	TACR2					0.6	0.848308119019896	0.6	0.666825200428151		
ENSG00000075089	ACTR6	-0.2	0.999985931919634	0.3	0.614437341689907	-0.1	0.946957413792746	-0.1	0.966465417030174	0.3	0.68951081800322
ENSG00000075131	TIPIN	-0.2	0.999985931919634	-0.5	0.413908431738192	-0.2	0.94595300529897	-0.2	0.92162625131066	-0.2	0.769741259959015
ENSG00000075142	SRI	0.1	0.999985931919634	-0.3	0.516397049376598	0.2	0.941364468287445	-0.6	0.334293991128538	0.3	0.660393033764568
ENSG00000075151	EIF4G3	0.1	0.999985931919634	0.2	0.525568018754675	0.2	0.866630635662509	0.4	0.381623669263428	0.2	0.665102063465207
ENSG00000075188	NUP37	0.1	0.999985931919634	-0.1	0.905678227064103			0.1	0.936157520483344	0.4	0.48879575639121
ENSG00000075213	SEMA3A	0.2	0.999985931919634			1.1	0.420848992467123	0.6	0.653531948014015	0.4	0.695384646243737
ENSG00000075218	GTSE1	0.2	0.999985931919634			0.3	0.885454251550946	0.3	0.858796633865653		
ENSG00000075223	SEMA3C	0.3	0.999985931919634	0.9	0.201175587107806	-0.2	0.955120586844535	0.8	0.21867231657901	0.9	0.10654317708811
ENSG00000075234	TTC38			-1.0	0.0857453275340278	-0.5	0.818416809974639	-0.3	0.798011610073716	-0.3	0.712736440661038
ENSG00000075239	ACAT1	-0.1	0.999985931919634	-0.8	0.096836270066512	-0.6	0.603836767809143	-0.6	0.380647755196515	0.2	0.863092938448591
ENSG00000075240	GRAMD4	-0.4	0.898790030067076	-0.7	0.179149290154314			-0.8	0.0713247825356079	-0.4	0.660393033764568
ENSG00000075275	CELSR1	0.1	0.999985931919634			0.3	0.873602948387123	0.1	0.954412364755138	-0.1	0.90276396575378
ENSG00000075292	ZNF638			0.5	0.311605162969532	0.1	0.987641776638333	0.2	0.930333929048023	0.2	0.830918030911231
ENSG00000075303	SLC25A40	-0.1	0.999985931919634	0.5	0.333996301007097			-0.1	0.943700520524904	0.4	0.429696115028817
ENSG00000075336	TIMM21	-0.1	0.999985931919634	-0.2	0.63117925733967	0.2	0.910514156976988	-0.1	0.968437650828351		
ENSG00000075340	ADD2	0.3	0.999985931919634	0.5	0.463900396820049	0.3	0.943472688267793	0.2	0.932702963848563	0.3	0.749225225135289
ENSG00000075391	RASAL2	0.2	0.975478018855509	0.4	0.213532475137118	0.5	0.493365882018747	0.2	0.789863416052602	0.4	0.315281823493063
ENSG00000075399	VPS9D1	-0.1	0.999985931919634	-0.3	0.632153019316083	-0.2	0.929044254329603	-0.1	0.947260538351281	-0.3	0.66053976448146
ENSG00000075407	ZNF37A	0.1	0.999985931919634	0.6	0.284619428515525	0.2	0.942997785233607	0.3	0.859482626312834	0.2	0.815942113236626
ENSG00000075413	MARK3			0.3	0.391833603160885	0.2	0.861455105839327	0.1	0.909987417463031		
ENSG00000075415	SLC25A3	0.2	0.999985931919634	-0.5	0.232531733194788	0.2	0.935674515384156	-0.3	0.840466598107023	-0.1	0.927387219862926
ENSG00000075420	FNDC3B	0.1	0.999985931919634	-0.1	0.861365084171247	-0.1	0.939284579868681				
ENSG00000075426	FOSL2			-0.2	0.729622600139669	0.3	0.857684889801224				
ENSG00000075539	FRYL	-0.1	0.999985931919634	0.5	0.310218728975356	0.1	0.943472688267793	0.2	0.917386579465767	0.2	0.819864893074582
ENSG00000075568	TMEM131	-0.1	0.999985931919634	0.2	0.49066944544743	0.1	0.860664033569786			0.2	0.433658061900699
ENSG00000075618	FSCN1			-1.0	0.158378414352983	-0.2	0.941603506462073	-0.1	0.956991272975562	-0.2	0.771918634292644
ENSG00000075624	ACTB	0.2	0.999985931919634	-0.6	0.323326854202676	-0.1	0.965036896640956	-0.3	0.868648876206253	-0.5	0.548785200169062
ENSG00000075643	MOCOS	-0.1	0.999985931919634	-0.8	0.0912143480795254	-0.2	0.956663070561996	-0.6	0.119994094065759	-0.3	0.647380609046773
ENSG00000075651	PLD1	-0.1	0.999985931919634	-0.2	0.449241042699263	-0.1	0.963482472673717	-0.1	0.937436920134645		
ENSG00000075702	WDR62	0.2	0.999985931919634	0.6	0.29104182068934	0.2	0.937533786897238	0.5	0.583050705960865		
ENSG00000075711	DLG1	-0.1	0.999985931919634	0.3	0.40278800478799			0.1	0.962067354494854	0.2	0.787530308452649
ENSG00000075785	RAB7A	-0.1	0.999985931919634	-0.4	0.28586453727217	-0.1	0.967824130213871	-0.1	0.911089028509143	-0.1	0.854423419306707
ENSG00000075790	BCAP29	-0.1	0.999985931919634	0.3	0.451096231538145	0.1	0.971185920682875	-0.1	0.953236121239498	0.3	0.626704918849267
ENSG00000075826	SEC31B	0.1	0.999985931919634	0.3	0.697134983390208	0.3	0.878011690908901	0.2	0.886747495737345		
ENSG00000075856	SART3	0.1	0.999985931919634	-0.2	0.505002752158653	-0.1	0.952310796383059	-0.1	0.861577168481263	-0.1	0.884722207958343
ENSG00000075884	ARHGAP15	0.3	0.999985931919634	0.8	0.157290338920055	0.1	0.97009461851206	0.5	0.424729523701	0.5	0.408084592871692
ENSG00000075886	TUBA3D	0.3	0.999985931919634			-0.1	0.990645949590272	0.3	0.907303944598666		
ENSG00000075914	EXOSC7	0.1	0.999985931919634	-0.6	0.174706785661943	0.3	0.904315417722808			-0.2	0.751300208300027
ENSG00000075945	KIFAP3					0.1	0.985848923417494	0.1	0.901391447623208	0.2	0.658965562087451
ENSG00000075975	MKRN2	0.1	0.999985931919634	-0.4	0.259184746328005			-0.2	0.834869017320165	0.1	0.933281466293855
ENSG00000076003	MCM6			-0.1	0.845438333351289	-0.3	0.886725170908881	0.1	0.966747399700257	0.3	0.646555249311165
ENSG00000076043	REXO2			-0.2	0.418279617218628			0.1	0.940757442910297	0.1	0.772984040931753
ENSG00000076053	RBM7	-0.2	0.999985931919634	0.2	0.753325410414658	-0.1	0.941603506462073	-0.2	0.911089028509143	0.3	0.610166598467724
ENSG00000076067	RBMS2	0.1	0.999985931919634	0.1	0.662064639617454	0.4	0.741369707257605	0.4	0.660490704185532	0.1	0.948443967097998
ENSG00000076108	BAZ2A			0.1	0.861781115187965	0.1	0.961639588052369	0.2	0.828122939941795	-0.2	0.710497385003923
ENSG00000076201	PTPN23	-0.1	0.999985931919634	-0.1	0.903429386880624	0.1	0.973953532695888	0.2	0.855843670489529	-0.3	0.661631874028264
ENSG00000076242	MLH1	0.1	0.999985931919634	-0.1	0.840867547320661	0.1	0.966711853183692	-0.2	0.854176185972101	-0.1	0.885932359624171
ENSG00000076248	UNG	-0.1	0.999985931919634	-1.0	0.0641045743496833	-0.2	0.942896651012038	-0.4	0.655397094100294	-0.3	0.717905864141619
ENSG00000076258	FMO4	-0.2	0.999985931919634	-0.3	0.260338823855518	-0.2	0.936672201657813	-0.2	0.906287663762619	-0.2	0.728445251132405
ENSG00000076321	KLHL20	-0.2	0.999985931919634			-0.1	0.955098234054372	-0.1	0.949806053387616	0.1	0.932505914062654
ENSG00000076344	RGS11	0.5	0.935669937833058			0.8	0.551003715877449	0.7	0.391856419271004	0.2	0.857674243348919
ENSG00000076351	SLC46A1	-0.2	0.999985931919634	-0.7	0.102423636333336	-0.3	0.848331319569938	-0.2	0.846689710153602	-0.4	0.577215728568649
ENSG00000076356	PLXNA2	-0.1	0.999985931919634	-0.2	0.621318442086811	0.2	0.929412971189339	0.1	0.950794382677817		
ENSG00000076382	SPAG5	-0.1	0.999985931919634	-0.3	0.40278800478799			-0.1	0.951337692941039	-0.1	0.914596472577244
ENSG00000076513	ANKRD13A	0.1	0.999985931919634	-0.2	0.58698886258896	-0.2	0.902618219518092	-0.1	0.908266965191088	-0.1	0.941558758414326
ENSG00000076554	TPD52					-0.2	0.929044254329603	-0.1	0.979329953151984	0.3	0.633165039767836
ENSG00000076555	ACACB	-0.1	0.999985931919634	-0.6	0.240762996951022	-0.2	0.910651967307982	-0.4	0.545762755414496	-0.5	0.307335727997568
ENSG00000076604	TRAF4			-0.8	0.130961375373977	-0.3	0.892620531092889	-0.2	0.881874395488445	-0.2	0.849632013430095
ENSG00000076641	PAG1	0.3	0.999985931919634	0.7	0.0978336529937388	-0.2	0.938551128628133	0.1	0.912102536011514	0.4	0.0966797279814395
ENSG00000076650	GPATCH1	-0.1	0.999985931919634	-0.2	0.598725249917264	-0.1	0.950268649330025	-0.3	0.596406945392296	-0.1	0.870939024881508
ENSG00000076662	ICAM3	0.6	0.888831301053426	-0.7	0.359566953206571	-0.2	0.956926080321162	0.2	0.935485416381954	0.5	0.547615901580481
ENSG00000076685	NT5C2	0.1	0.999985931919634	0.1	0.710543386574503	0.3	0.848308119019896	-0.1	0.924006017290748	0.1	0.851698095593071
ENSG00000076706	MCAM	0.4	0.999985931919634	-0.6	0.32529179642152	0.8	0.407782567610639	0.4	0.684258271237744	0.2	0.880691885457527
ENSG00000076716	GPC4	0.7	0.609827455890443	0.8	0.170624325289859	1.3	0.250435129885272	0.8	0.266911653121165	1.1	0.0143674952179892
ENSG00000076770	MBNL3	-0.3	0.999985931919634	0.4	0.197433032136899	-0.4	0.82506830066816	-0.3	0.861577168481263	0.1	0.855124818458609
ENSG00000076826	CAMSAP3	-0.2	0.999985931919634	-0.6	0.248071186345871	-0.2	0.963482472673717	-0.1	0.965796130869513	-0.6	0.253339322593555
ENSG00000076864	RAP1GAP	0.1	0.999985931919634	-0.1	0.922596458840247	0.3	0.906889904479155	0.1	0.971307588461731		
ENSG00000076924	XAB2	-0.1	0.999985931919634	-0.5	0.192618376309913	-0.2	0.901459940478543	-0.2	0.855843670489529	-0.3	0.572140481444637
ENSG00000076928	ARHGEF1	0.3	0.999985931919634	0.2	0.640061641855967	0.2	0.898476048016577	0.4	0.291408714372665		
ENSG00000076944	STXBP2	0.1	0.999985931919634	-0.3	0.498455206720658					-0.4	0.569894281196856
ENSG00000076984	MAP2K7	-0.1	0.999985931919634	-0.6	0.226213791630149			-0.1	0.931877762665511	-0.4	0.564334527501406
ENSG00000077044	DGKD			-0.2	0.571249025068647	0.2	0.892620531092889	0.1	0.932435787973126	-0.2	0.643731734787542
ENSG00000077063	CTTNBP2	-0.1	0.999985931919634	0.4	0.331252753777206	0.3	0.874998074336574	0.5	0.634356235472016	0.1	0.901339082546957
ENSG00000077080	ACTL6B					-0.4	0.926956091315079	-0.3	0.883984149542666		
ENSG00000077092	RARB			0.8	0.15073327431057	0.3	0.898476048016577	0.2	0.852527600651626	0.3	0.678545921777189
ENSG00000077097	TOP2B	0.1	0.999985931919634	0.6	0.241974158272468	0.1	0.97188648956707	0.2	0.916186089349748	0.4	0.577379169373923
ENSG00000077147	TM9SF3	-0.1	0.999985931919634	0.2	0.702672376847892	-0.1	0.933946781746232	-0.1	0.962004496678581	0.4	0.519895490513681
ENSG00000077150	NFKB2	0.2	0.999985931919634	-0.1	0.804459347210267			0.2	0.86909834637592		
ENSG00000077152	UBE2T	0.5	0.999985931919634			0.4	0.914621932828302	0.1	0.98148515990964		
ENSG00000077157	PPP1R12B			0.2	0.700403649282682	0.3	0.701877605734854	0.2	0.901391447623208	-0.1	0.866398984009729
ENSG00000077232	DNAJC10	0.1	0.999985931919634	0.6	0.200875933453717	0.2	0.935809986843495	0.3	0.793858849578383	0.3	0.638770337021604
ENSG00000077235	GTF3C1			-0.3	0.400192723235491	0.1	0.919664918578812	-0.1	0.942386732763755	-0.2	0.746204477406449
ENSG00000077238	IL4R	0.4	0.633603441975198	-0.6	0.156824578960759	-0.1	0.964564991758934	-0.2	0.909642640353199	-0.4	0.564334527501406
ENSG00000077254	USP33			0.4	0.363856857194196			0.1	0.931302651176083	0.2	0.732129796575096
ENSG00000077264	PAK3	0.7	0.650441354718884			1.5	0.139009496609557	0.5	0.724782393433877	0.8	0.285188285239992
ENSG00000077274	CAPN6	1.2	0.0976499298838821			1.9	0.0263475525974864	1.2	0.0449356229515334		
ENSG00000077312	SNRPA			-0.4	0.288633683708542			-0.3	0.848172961337863	-0.3	0.71368104670087
ENSG00000077348	EXOSC5			-0.7	0.251999506130809			-0.1	0.942603547508513	-0.2	0.811295020007311
ENSG00000077380	DYNC1I2	0.2	0.999985931919634					0.1	0.963060545456653	0.4	0.366031816862641
ENSG00000077420	APBB1IP	0.3	0.952562748122185	0.5	0.256657290766976	0.1	0.983720388820257	0.3	0.821808798427026	-0.1	0.890094674262996
ENSG00000077454	LRCH4	0.1	0.999985931919634			0.1	0.938522297976087	0.3	0.714007738627621	-0.2	0.84670387040088
ENSG00000077458	FAM76B	-0.3	0.999985931919634	0.7	0.154452221033291	-0.1	0.963451851117788	-0.3	0.885988470128546	0.2	0.866398984009729
ENSG00000077463	SIRT6	0.1	0.999985931919634	-0.4	0.357048190629517	-0.1	0.965036896640956	-0.1	0.969752395646362	-0.2	0.804215171211785
ENSG00000077514	POLD3	0.2	0.999985931919634	0.2	0.611732080951207	-0.1	0.963451851117788				
ENSG00000077522	ACTN2					1.0	0.618746813081799				
ENSG00000077549	CAPZB	0.3	0.999985931919634	-0.4	0.389455667912185			-0.2	0.917386579465767	-0.2	0.759538002932307
ENSG00000077585	GPR137B	-0.1	0.999985931919634	-0.1	0.762627343089676			-0.1	0.934370547697302	0.2	0.758366944439924
ENSG00000077616	NAALAD2	-0.2	0.999985931919634	0.5	0.476372978525809	0.7	0.689132233454648	-0.1	0.952496512294959	0.3	0.779035555210794
ENSG00000077684	JADE1			0.2	0.658920379763301						
ENSG00000077713	SLC25A43			-0.1	0.799839724226795	0.1	0.955098234054372	-0.2	0.861220853312384	0.2	0.747742527232323
ENSG00000077721	UBE2A			0.1	0.879155503197833	0.1	0.955098234054372			0.1	0.80447728274416
ENSG00000077782	FGFR1			-0.4	0.357514787263227	0.8	0.608646051029198	0.1	0.956850245740939	-0.1	0.870939024881508
ENSG00000077935	SMC1B	-0.3	0.999985931919634					0.2	0.936151835995625		
ENSG00000077942	FBLN1	0.4	0.999985931919634	-0.8	0.302470867386895	0.7	0.807054217184541	0.1	0.952684995600867	0.1	0.96932868897197
ENSG00000077943	ITGA8	0.8	0.500987403509543	0.3	0.673368291117577	0.7	0.82545553890333	0.5	0.673972110961277	0.1	0.96182598071534
ENSG00000077984	CST7	0.4	0.999985931919634	-0.1	0.885701746540823	-0.2	0.960570587727158	-0.1	0.967248257857854	-0.1	0.96182598071534
ENSG00000078018	MAP2	0.1	0.999985931919634	0.9	0.082575442062003	1.5	0.0315086212261946	0.8	0.291408714372665	0.4	0.625640405090977
ENSG00000078043	PIAS2	-0.1	0.999985931919634	0.5	0.227685506335289	0.3	0.848308119019896			0.2	0.784211183918758
ENSG00000078053	AMPH	-0.1	0.999985931919634			0.6	0.861455105839327	-0.1	0.95925464821562		
ENSG00000078061	ARAF	-0.1	0.999985931919634	-0.7	0.171190024004142	-0.2	0.929044254329603	-0.3	0.67073893673248	-0.4	0.507588623332438
ENSG00000078070	MCCC1			-0.3	0.309852326312245	-0.3	0.855552006554935	0.1	0.891399745745728		
ENSG00000078081	LAMP3	-0.4	0.999985931919634	-1.0	0.190694315657883			-0.1	0.9721661586396	-0.1	0.934103493658364
ENSG00000078098	FAP	1.0	0.294275962464095			1.5	0.108604684059547	1.8	2.14846389096006E-4	1.1	0.0629403059779446
ENSG00000078114	NEBL	-0.3	0.999985931919634	0.5	0.463852266868231	0.2	0.970058352559818	0.1	0.96289305798467	0.3	0.772984040931753
ENSG00000078124	ACER3	-0.3	0.999985931919634	0.2	0.57556239349105	0.1	0.955098234054372	0.3	0.529611853801079	0.5	0.359604538625688
ENSG00000078140	UBE2K	-0.2	0.999985931919634	0.2	0.64343406627001	-0.2	0.904315417722808	-0.2	0.852527600651626	0.2	0.751592060875965
ENSG00000078142	PIK3C3	-0.1	0.999985931919634	0.3	0.363967356781054			0.1	0.927743868019423	0.2	0.662308127721928
ENSG00000078177	N4BP2	-0.1	0.999985931919634	0.5	0.385654237711122	-0.3	0.898476048016577	-0.1	0.962462886483126	0.2	0.789801986104643
ENSG00000078237	TIGAR	0.1	0.999985931919634			0.2	0.950668529006097	0.1	0.949806053387616	-0.1	0.92998032756553
ENSG00000078246	TULP3	0.1	0.999985931919634	0.1	0.782522174886688	0.2	0.902618219518092	-0.2	0.840466598107023	0.2	0.722762170933567
ENSG00000078269	SYNJ2			-0.2	0.674658946084029	0.1	0.950668529006097	0.1	0.949780386166577	0.1	0.884106012625655
ENSG00000078304	PPP2R5C			-0.1	0.837353371771371			-0.1	0.952627466916912	0.1	0.849632013430095
ENSG00000078319	PMS2P1			-0.7	0.18630188418264	-0.1	0.929412971189339	0.2	0.861577168481263	-0.2	0.854423419306707
ENSG00000078369	GNB1	0.1	0.999985931919634	-0.3	0.385081662937619			-0.2	0.880919010207171	-0.1	0.828056687052094
ENSG00000078401	EDN1			0.7	0.158324192385648	0.3	0.888089865958845	0.2	0.913176607307219	0.4	0.695666409971253
ENSG00000078403	MLLT10	-0.1	0.999985931919634	0.2	0.538019310449335						
ENSG00000078487	ZCWPW1	-0.1	0.999985931919634					-0.1	0.969156342503397	-0.2	0.814378062319729
ENSG00000078549	ADCYAP1R1	-0.1	0.999985931919634	-0.6	0.460719110331995	0.1	0.991981202996853	-0.1	0.974718963619465	-0.1	0.8816787971161
ENSG00000078589	P2RY10	1.0	0.175133680231299			-0.2	0.954024131690835	0.4	0.801649082656528	0.5	0.569397126329503
ENSG00000078596	ITM2A	0.6	0.676413086732295	0.6	0.329402512913768	0.5	0.867459766966156	0.2	0.889411295379971	0.5	0.548456186210954
ENSG00000078618	NRDC					0.1	0.952495723820052			0.1	0.895277939498907
ENSG00000078668	VDAC3	0.1	0.999985931919634	-0.3	0.385654237711122	0.4	0.870031215064455				
ENSG00000078674	PCM1			0.4	0.439632317907346	0.3	0.916888053414267	0.2	0.902294628941833	0.2	0.849632013430095
ENSG00000078687	TNRC6C	0.1	0.999985931919634	0.4	0.262800370650569	0.2	0.86739173538835	0.1	0.939801682933996	-0.1	0.802871516010536
ENSG00000078699	CBFA2T2			0.1	0.811792112644531	0.1	0.955098234054372	0.1	0.955763989164199	-0.2	0.665508886818187
ENSG00000078725	BRINP1	0.1	0.999985931919634					0.4	0.825516805667496	-0.2	0.870939024881508
ENSG00000078747	ITCH	-0.1	0.999985931919634	-0.2	0.645182957649567	-0.4	0.272495407592302	-0.3	0.729229332506312	0.1	0.864167830638719
ENSG00000078795	PKD2L2	-0.1	0.999985931919634			0.2	0.960754327844437	-0.3	0.877007117292577		
ENSG00000078804	TP53INP2	-0.2	0.999985931919634	-0.5	0.389014148891697	0.2	0.945065740179399	-0.1	0.980668356517847	-0.7	0.210706402965354
ENSG00000078808	SDF4			-0.7	0.24009310443331	-0.1	0.95118419154754	-0.2	0.895780023089755	-0.3	0.682478177598539
ENSG00000078814	MYH7B			0.3	0.553627169042578	0.2	0.930299948276184	0.3	0.798885806888866	-0.4	0.629290559884686
ENSG00000078900	TP73	0.2	0.999985931919634	0.4	0.576471263680846	0.1	0.989615783547057	0.1	0.95699578160254	0.1	0.945117221156453
ENSG00000078902	TOLLIP	-0.2	0.999985931919634	-0.9	0.137786290717048	-0.2	0.93212950233931	-0.4	0.663544370611301	-0.5	0.432936147416507
ENSG00000078967	UBE2D4	-0.1	0.999985931919634	-0.4	0.156824578960759	0.1	0.953795916089169	-0.2	0.861220853312384	-0.2	0.642299418180374
ENSG00000079101	CLUL1					0.6	0.869440308111331				
ENSG00000079102	RUNX1T1	0.2	0.999985931919634	0.6	0.257220950341509	0.9	0.536610541510335	0.5	0.655397094100294	0.6	0.307333518116691
ENSG00000079112	CDH17					0.4	0.915542456081949				
ENSG00000079134	THOC1			0.6	0.273755414867306			0.1	0.948452879384468	0.2	0.83106442490719
ENSG00000079150	FKBP7			-0.1	0.921086421870834	0.2	0.947377878739165	-0.3	0.714671343591708	0.1	0.870939024881508
ENSG00000079156	OSBPL6	-0.6	0.633603441975198	-0.4	0.403859458407303	0.1	0.990645949590272	-0.8	0.157354808725887	-0.3	0.759538002932307
ENSG00000079215	SLC1A3	0.3	0.999985931919634	0.2	0.576289072280902			0.3	0.861577168481263	0.3	0.71368104670087
ENSG00000079246	XRCC5	-0.3	0.758364228087654	-0.8	0.0207763784502194	-0.4	0.550621852640097	-0.5	0.0698479878926077	-0.2	0.844838204173954
ENSG00000079257	LXN	0.6	0.652009668606153	1.2	0.0573724911275687	0.4	0.896395833920567	0.8	0.0963428324107153	0.8	0.112723874496916
ENSG00000079263	SP140	0.8	0.294275962464095	1.0	0.078302235364879	-0.2	0.960754327844437	0.8	0.150414267551493	0.3	0.712736440661038
ENSG00000079277	MKNK1					0.1	0.911875219327282	-0.2	0.859263037861076	-0.1	0.759538002932307
ENSG00000079308	TNS1	0.1	0.999985931919634	0.1	0.863609815718149	0.5	0.565900172902462	0.2	0.904074604239422	-0.1	0.90276396575378
ENSG00000079313	REXO1	-0.1	0.999985931919634	-0.2	0.657467806635605	-0.2	0.929044254329603	-0.1	0.945961902721539	-0.5	0.455920816638253
ENSG00000079332	SAR1A			-0.4	0.238009732914615	-0.2	0.843286565491681	-0.2	0.852527600651626	-0.1	0.948392952516568
ENSG00000079335	CDC14A	0.3	0.999985931919634	0.5	0.400831926758758	0.4	0.780487097783233	0.3	0.854069018803916	0.1	0.933830840302964
ENSG00000079337	RAPGEF3	0.2	0.999985931919634	0.2	0.731883430311813	0.7	0.512541994756459			-0.1	0.947605568788073
